pc_code,pc_description,unit,country_name,quantity,perUnit,categoryName,categoryID,Value,year
H9,Agro Chemicals,Kgs,U Arab Emts,10,1.70E-05,Fertilizers,3,0.00017,2016
H9,Agro Chemicals,Kgs,Sri Lanka ,50,0.000582,Fertilizers,3,0.0291,2018
H9,Agro Chemicals,Kgs,U S A,12800,0.04304,Fertilizers,3,550.912,2012
H9,Agro Chemicals,Kgs,Sri Lanka ,5327,0.055295,Fertilizers,3,294.556465,2020
H9,Agro Chemicals,Kgs,Thailand,67400,0.125858,Fertilizers,3,8482.8292,2014
H9,Agro Chemicals,Kgs,Thailand,72564,0.167137,Fertilizers,3,12128.12927,2019
H9,Agro Chemicals,Kgs,Bhutan,569273,0.370963,Fertilizers,3,211179.2199,2014
H9,Agro Chemicals,Kgs,Denmark,55517,0.470165,Fertilizers,3,26102.15031,2018
H9,Agro Chemicals,Kgs,Hong Kong,47692,0.483898,Fertilizers,3,23078.06342,2017
H9,Agro Chemicals,Kgs,U S A,183465,0.519935,Fertilizers,3,95389.87478,2013
H9,Agro Chemicals,Kgs,Afghanistan,239068,0.716538,Fertilizers,3,171301.3066,2012
H9,Agro Chemicals,Kgs,U S A,128320,1.327023,Fertilizers,3,170283.5914,2016
H9,Agro Chemicals,Kgs,U S A,454424,1.986662,Fertilizers,3,902786.8927,2020
H9,Agro Chemicals,Kgs,Thailand,323175,2.026241,Fertilizers,3,654830.4352,2014
H9,Agro Chemicals,Kgs,Iraq,354227,2.084666,Fertilizers,3,738444.9832,2016
H9,Agro Chemicals,Kgs,U Arab Emts,685651,3.186668,Fertilizers,3,2184942.101,2015
H9,Agro Chemicals,Kgs,U S A,914836,3.446654,Fertilizers,3,3153123.159,2018
H9,Agro Chemicals,Kgs,Switzerland,331771,4.351981,Fertilizers,3,1443861.088,2015
H9,Agro Chemicals,Kgs,New Zealand,1273329,5.052095,Fertilizers,3,6432979.074,2013
H9,Agro Chemicals,Kgs,Canada,799372,6.455278,Fertilizers,3,5160168.485,2019
H9,Agro Chemicals,Kgs,U Arab Emts,6264760,7.643909,Fertilizers,3,47887255.35,2020
H9,Agro Chemicals,Kgs,Sri Lanka ,1976268,9.622517,Fertilizers,3,19016672.43,2017
H9,Agro Chemicals,Kgs,U Arab Emts,2637600,14.411104,Fertilizers,3,38010727.91,2014
H9,Agro Chemicals,Kgs,Hong Kong,3234700,14.513189,Fertilizers,3,46945812.46,2019
H9,Agro Chemicals,Kgs,Nepal,4638881,16.212081,Fertilizers,3,75205914.52,2016
H9,Agro Chemicals,Kgs,U S A,4522513,16.369671,Fertilizers,3,74032049.9,2014
H9,Agro Chemicals,Kgs,U K,2536822,21.38765,Fertilizers,3,54256661.05,2016
H9,Agro Chemicals,Kgs,U Arab Emts,6726475,26.875289,Fertilizers,3,180775959.6,2012
H9,Agro Chemicals,Kgs,Italy,4822144,27.859566,Fertilizers,3,134342839,2014
H9,Agro Chemicals,Kgs,Hong Kong,3567987,29.913853,Fertilizers,3,106732238.6,2015
H9,Agro Chemicals,Kgs,South Africa,6284139,31.098566,Fertilizers,3,195427711.4,2016
H9,Agro Chemicals,Kgs,Iran,5842595,33.194572,Fertilizers,3,193942440.4,2012
H9,Agro Chemicals,Kgs,U S A,8422005,34.463149,Fertilizers,3,290248813.2,2017
H9,Agro Chemicals,Kgs,Germany,2471929,34.743694,Fertilizers,3,85883944.77,2020
H9,Agro Chemicals,Kgs,Thailand,9101994,41.00096,Fertilizers,3,373190491.9,2012
H9,Agro Chemicals,Kgs,Australia,11052163,55.994677,Fertilizers,3,618862297.3,2017
H9,Agro Chemicals,Kgs,France,11218135,78.472578,Fertilizers,3,880315973.8,2018
H9,Agro Chemicals,Kgs,Japan,3085690,104.93265,Fertilizers,3,323789628.8,2016
H9,Agro Chemicals,Kgs,Brazil,70323765,364.024789,Fertilizers,3,25599593716,2015
H9,Agro Chemicals,Kgs,U S A,37971519,366.916502,Fertilizers,3,13932376927,2019
H4,Ayush And Herbal Products,Kgs,Sri Lanka ,70,0.000832,Cosmetics,6,0.05824,2012
H4,Ayush And Herbal Products,Kgs,U S A,194,0.000949,Cosmetics,6,0.184106,2020
H4,Ayush And Herbal Products,Kgs,U S A,516,0.002323,Cosmetics,6,1.198668,2019
H4,Ayush And Herbal Products,Kgs,Thailand,2705,0.019489,Cosmetics,6,52.717745,2018
H4,Ayush And Herbal Products,Kgs,Sri Lanka ,2702,0.020915,Cosmetics,6,56.51233,2016
H4,Ayush And Herbal Products,Kgs,Sri Lanka ,4087,0.049668,Cosmetics,6,202.993116,2014
