,pc_code,pc_description,unit,country_name,quantity,Per unit,categoryName,categoryID,Value,year
0,G9,Gold And Oth Precs Metl Jwlery,Na,USA,2240.0,2.878524,Metals,2.0,6447.89376,2012.0
1,L7,Lead And Products Made Of Led,Ton,USA,50.0,160.303942,Metals,2.0,8015.1971,2012.0
2,O6,"Railwy Trnsprt Equipmnts, Prts",Na,USA,2149.0,11.648539999999999,Machinery and parts,10.0,25032.71246,2012.0
3,H5,"Bulk Drugs, Drug Intermediates",Kgs,USA,4330984.0,481.412433,Chemicals,7.0,2084989545.0,2012.0
4,M4,Electrodes,Kgs,USA,80074.0,285.888782,Accumulators and Batteries,9.0,22892258.33,2012.0
5,P7,Cotton Yarn,Ton,U S A,697455.0,1.9402139999999999,Fabric Materials,14.0,1353211.955,2012.0
6,G3,Leather Footwear Component,Kgs,U S A,45.0,0.301475,Leather Products,1.0,13.566375,2012.0
7,O5,Motor Vehicle/Cars,Nos,U S A,895917.0,377.541048,Machinery and parts,10.0,338245443.1,2012.0
8,L8,"Nickel, Product Made Of Nickel",Ton,U S A,42062.0,1.076543,Metals,2.0,45281.55167,2012.0
9,K7,Packaging Materials,Ton,U S A,50294.0,0.147896,Plastic Products,8.0,7438.281424,2012.0
10,L6,Copper And Prdcts Made Of Copr,Ton,U S A,6979049.0,37.078469,Metals,2.0,258772452.0,2012.0
11,L3,Iron And Steel,Ton,U S A,368489.0,614.10816,Metals,2.0,226292101.8,2012.0
12,M2,Oth Non Ferous Metal And Prodc,Kgs,U S A,137895.0,0.37343699999999996,Metals,2.0,51495.09512,2012.0
13,H9,Agro Chemicals,Kgs,U S A,1313358.0,8.254452,Fertilizers,3.0,10841050.57,2012.0
14,L5,"Aluminium, Products Of Aluminm",Ton,U S A,59.0,0.085962,Metals,2.0,5.071758,2012.0
15,N2,Bicycle And Parts,Na,U S A,8469413.0,126.718721,Machinery and Parts,10.0,1073233183.0,2012.0
16,O9,"Computer Hardware, Peripherals",Na,U S A,48922.0,10.167803,Machinery and Parts,10.0,497429.2584,2012.0
17,P2,Washing Machine,Na,U S A,26.0,0.031345,Electronic Components,11.0,0.81497,2012.0
18,F8,Finished Leather,Kgs,U S A,915202.0,18.510835999999998,Leather Products,1.0,16941154.13,2012.0
19,K5,"Human Hair, Products Thereo",Kgs,U S A,1267651.0,9.617479,Cosmetics,6.0,12191606.87,2012.0
20,Q2,"Natrl Silk Yarn,Fabrics,Madeup",Na,U S A,50294.0,0.147896,Fabric Materials,14.0,7438.281424,2012.0
